DateTime,Actual Power (kW),Adjusted Baseline Power (kW)
2024-05-02 00:00:00,847.8,3062.344
2024-05-02 00:30:00,690.6,3057.5166
2024-05-02 01:00:00,702.2,3052.1907
2024-05-02 01:30:00,669.2,3048.1553
2024-05-02 02:00:00,678.8,3041.6309
2024-05-02 02:30:00,640.4,3036.3782
2024-05-02 03:00:00,673.06666666,3034.4084
2024-05-02 03:30:00,620.13333334,3032.21
2024-05-02 04:00:00,649.4,3032.4058
2024-05-02 04:30:00,614.8,3031.199
2024-05-02 05:00:00,642.2,3037.7988
2024-05-02 05:30:00,631.2,3042.68
2024-05-02 06:00:00,652.6,3049.6917
2024-05-02 06:30:00,671.8,3077.7393
2024-05-02 07:00:00,855.0,3099.7407
2024-05-02 07:30:00,1790.0,3107.5251
2024-05-02 08:00:00,2235.4,3109.732
2024-05-02 08:30:00,2654.2,3110.7278
2024-05-02 09:00:00,2620.6,3111.1511
2024-05-02 09:30:00,2683.0,3111.4707
2024-05-02 10:00:00,2844.4,3111.364
2024-05-02 10:30:00,2538.8,3110.6528
2024-05-02 11:00:00,3058.6,3108.9495
2024-05-02 11:30:00,2482.8,3109.0767
2024-05-02 12:00:00,2957.0,3110.4817
2024-05-02 12:30:00,2386.4,3108.191
2024-05-02 13:00:00,2941.6,3108.0933
2024-05-02 13:30:00,2446.6,3108.1465
2024-05-02 14:00:00,3020.4,3107.4858
2024-05-02 14:30:00,2703.2,3107.2546
2024-05-02 15:00:00,3045.6,3104.855
2024-05-02 15:30:00,2661.4,3103.5334
2024-05-02 16:00:00,2998.8,3102.1765
2024-05-02 16:30:00,2276.66666666,3101.3362
2024-05-02 17:00:00,2451.33333334,3097.6934
2024-05-02 17:30:00,1399.2,3093.927
2024-05-02 18:00:00,1089.2,3091.2937
2024-05-02 18:30:00,962.8,3090.097
2024-05-02 19:00:00,985.6,3089.8855
2024-05-02 19:30:00,994.73333334,3089.4453
2024-05-02 20:00:00,1067.26666666,3083.4543
