DateTime,C1 Cumulative Cost Savings (RM),TOU Cumulative Cost Savings (RM)
2024-05-02 00:00:00,404.15428,311.143432
2024-05-02 00:30:00,836.1165595,643.6952143000001
2024-05-02 01:00:00,1264.98986225,973.86890765
2024-05-02 01:30:00,1699.1492045,1308.1121273
2024-05-02 02:00:00,2130.36584375,1640.08986875
2024-05-02 02:30:00,2567.63186525,1976.72480585
2024-05-02 03:00:00,2998.5767315845496,2308.4933193842703
2024-05-02 03:30:00,3438.7807232499995,2647.39009105
2024-05-02 04:00:00,3873.67928175,2982.20240595
2024-05-02 04:30:00,4314.67209925,3321.70646545
2024-05-02 05:00:00,4751.868880249999,3658.28809685
2024-05-02 05:30:00,5191.963980249999,3997.10103685
2024-05-02 06:00:00,5629.433215499998,4333.8924207
2024-05-02 06:30:00,6068.517137749998,4671.92689235
2024-05-02 07:00:00,6478.182315499998,4987.3129607
2024-05-02 07:30:00,6718.630646249998,5172.4252372500005
2024-05-02 08:00:00,6878.196236249998,5328.49349925
2024-05-02 08:30:00,6961.512559749998,5409.98371155
2024-05-02 09:00:00,7051.038135499998,5497.5470829000005
2024-05-02 09:30:00,7129.234038249998,5574.0291028500005
2024-05-02 10:00:00,7177.954968249998,5651.982590850001
2024-05-02 10:30:00,7282.318104249998,5818.963608450001
2024-05-02 11:00:00,7291.506887999998,5833.665662450001
2024-05-02 11:30:00,7405.802385749998,6016.538458850001
2024-05-02 12:00:00,7433.812795999998,6061.355115250001
2024-05-02 12:30:00,7565.539653499998,6272.118087250001
2024-05-02 13:00:00,7595.9246807499985,6320.734130850001
2024-05-02 13:30:00,7716.656916999998,6513.905708850001
2024-05-02 14:00:00,7732.5500754999985,6529.450524150001
2024-05-02 14:30:00,7806.290039999999,6601.574270250001
2024-05-02 15:00:00,7817.104077499999,6612.151287750001
2024-05-02 15:30:00,7897.793422999999,6691.07209965
2024-05-02 16:00:00,7916.659634249999,6709.5248049
2024-05-02 16:30:00,8067.161824084549,6856.72831660119
2024-05-02 17:00:00,8185.122536249999,6972.1035885
2024-05-02 17:30:00,8494.41021375,7274.612358
2024-05-02 18:00:00,8859.792314,7631.98608345
2024-05-02 18:30:00,9248.0240165,8011.708597950001
2024-05-02 19:00:00,9632.05612025,8387.3235597
2024-05-02 19:30:00,10014.34105416545,8761.22964574881
2024-05-02 20:00:00,10382.29529725,9121.1191383
2024-05-02 20:30:00,10751.85093525,9482.5749267
2024-05-02 21:00:00,11124.32514975,9846.8853228
2024-05-02 21:30:00,11496.13787475,10210.5487278
2024-05-02 22:00:00,11882.31635491545,10507.85325636573
2024-05-02 22:30:00,12267.44309975,10804.3480928
2024-05-02 23:00:00,12663.18225,11109.01302765
2024-05-02 23:30:00,13088.74816,11436.64048165
2024-05-03 00:00:00,13471.81858,11731.55222965
2024-05-03 00:30:00,13897.341931,12059.14691905
2024-05-03 01:00:00,14316.6206795,12381.93411995
2024-05-03 01:30:00,14747.16688675,12713.3957206
2024-05-03 02:00:00,15175.26600625,13042.9733989
2024-05-03 02:30:00,15612.97075775,13379.946098000002
2024-05-03 03:00:00,16044.78356975,13712.382810800002
2024-05-03 03:30:00,16481.05273975,14048.2503088
2024-05-03 04:00:00,16912.99892275,14380.789699
2024-05-03 04:30:00,17351.2521415,14718.18464275
2024-05-03 05:00:00,17788.021763,15054.43741985
2024-05-03 05:30:00,18221.9916155,15388.53475835
2024-05-03 06:00:00,18658.7553605,15724.78301135
2024-05-03 06:30:00,19090.5175105,16057.18072135
2024-05-03 07:00:00,19508.13691425,16378.6904541
2024-05-03 07:30:00,19665.816458,16500.08210285
2024-05-03 08:00:00,19729.329378,16562.20295885
2024-05-03 08:30:00,19746.2400105,16578.74294735
2024-05-03 09:00:00,19769.8303985,16601.816285750003
2024-05-03 09:30:00,19756.5385585,16588.815773750004
2024-05-03 10:00:00,19758.3983065,16591.791370550003
2024-05-03 10:30:00,19755.46513,16587.098288150002
2024-05-03 11:00:00,19729.010441,16544.770785750003
2024-05-03 11:30:00,19774.90676375,16618.204902150002
2024-05-03 12:00:00,19719.57385875,16529.672254150002
2024-05-03 12:30:00,19791.13196275,16644.165220550003
2024-05-03 13:00:00,19766.89665625,16605.388730150004
2024-05-03 13:30:00,19841.76217125,16725.173554150002
2024-05-03 14:00:00,19838.64689625,16722.12655915
2024-05-03 14:30:00,19932.41981275,16813.844178850002
2024-05-03 15:00:00,19851.4112565,16734.611152600002
2024-05-03 15:30:00,19907.9858185,16789.945724200003
2024-05-03 16:00:00,19887.13331375,16769.55026065
2024-05-03 16:30:00,19982.979412,16863.2956225
2024-05-03 17:00:00,20018.066205,16897.6133899
2024-05-03 17:30:00,20338.9181775,17211.4329904
2024-05-03 18:00:00,20723.8479805,17587.9259758
2024-05-03 18:30:00,21120.81423033455,17976.19159550119
2024-05-03 19:00:00,21525.6177845,18372.122743
2024-05-03 19:30:00,21902.8324,18741.0696409
2024-05-03 20:00:00,22293.657318,19123.3285333
2024-05-03 20:30:00,22689.36858225,19510.36667395
2024-05-03 21:00:00,23080.44491225,19892.87146795
2024-05-03 21:30:00,23482.47562225,20286.09054595
2024-05-03 22:00:00,23882.3514635,20593.9401662
2024-05-03 22:30:00,24286.61467775,20905.16746265
2024-05-03 23:00:00,24700.921962,21224.1273171
2024-05-03 23:30:00,25139.81940575,21562.01822585
2024-05-04 00:00:00,25550.327179915446,21878.05297801573
2024-05-04 00:30:00,25987.9668945,22214.9756076
2024-05-04 01:00:00,26419.458032,22547.1646751
2024-05-04 01:30:00,26863.2047745,22888.7888796
2024-05-04 02:00:00,27302.393251,23226.9038437
2024-05-04 02:30:00,27750.31510075,23571.74230885
2024-05-04 03:00:00,28197.26172525,23915.82998415
2024-05-04 03:30:00,28651.003938,24265.1493315
2024-05-04 04:00:00,29098.018343,24609.2891885
2024-05-04 04:30:00,29552.42795825,24959.12234435
2024-05-04 05:00:00,29999.89375875,25303.60971405
2024-05-04 05:30:00,30449.121104,25649.4532319
2024-05-04 06:00:00,30892.4666810809,25990.76859398146
2024-05-04 06:30:00,31349.029115,26342.2591253
2024-05-04 07:00:00,31799.806140750003,26689.29568485
2024-05-04 07:30:00,32240.431038250004,27028.51649635
2024-05-04 08:00:00,32657.247825250004,27436.19757295
2024-05-04 08:30:00,33047.80032550001,27818.1900184
2024-05-04 09:00:00,33475.556162500005,28236.570385
2024-05-04 09:30:00,33888.26531250001,28640.233855
2024-05-04 10:00:00,34296.81468525001,29293.9128514
2024-05-04 10:30:00,34714.46407375001,29962.151872999995
2024-05-04 11:00:00,35097.63095108456,30575.218876735275
2024-05-04 11:30:00,35495.18666983091,31211.308026729435
2024-05-04 12:00:00,35847.07131341181,31774.323456458875
2024-05-04 12:30:00,36278.43641641181,32464.50762125888
2024-05-04 13:00:00,36656.24527016181,33069.00178725887
