Month,Actual_MD_kW,Baseline_MD_kW,MD Savings (kW),MD Cost Savings (RM)
2024-05,3794.2,3233.3914,-560.8085999999998,-50063.38372199999
2024-06,3890.4,3117.2134,-773.1866,-69022.367782
2024-07,3816.3,3114.741,-701.5590000000002,-62628.171930000026
2024-08,3647.8,3107.3933,-540.4067,-48242.10610900001
2024-09,2849.0,2947.454,98.45400000000018,8788.988580000017
2024-10,3843.8,3113.325,-730.4750000000004,-65209.50325000004
2024-11,4505.0,3117.328,-1387.672,-123877.47944000001
2024-12,4547.2,3154.3044,-1392.8955999999998,-124343.79021199999
2025-01,3952.0,3115.1743,-836.8256999999999,-74703.430239
2025-02,3446.4,2983.681,-462.71900000000005,-41306.92513000001
2025-03,4441.2,3044.4673,-1396.7327,-124686.32812900002
2025-04,5289.0,3115.221,-2173.779,-194053.25133000003
2025-05,3578.6,3241.316,-337.2840000000001,-30109.342680000012
2025-06,5044.0,2571.5276,-2472.4724,-220717.61114800003
2025-07,2674.8,2574.2031,-100.5969,-8980.285263000002
2025-08,3187.8,3062.8252,-124.97479999999996,-11156.500395999998
2025-09,2847.8,3731.764,883.9639999999999,78911.46628000001
2025-10,4412.2208,4117.4995,-294.72130000000016,-26309.77045100002
2025-11,3761.2192,3774.5876,13.368399999999838,1193.3970679999857
